Name,Type,Calories_Cal,Fat_Cal,Fat_g,Fat_percentage,Sat_Fat_g,Sat_Fat_percentage,Trans_Fat_percentage,Chol_mg,Chol_percentage,Sodium_mg,Sodium_Percentage,Potassium_mg,Potassium_percentage,Carbs_g,Carbs_percentage,Dietary_Fiber_g,Dietary_Fiber_percentage,Sugars_g,Protein_g,Calcium_percentage,Iron_percentage,Restaurant
Bamboo Shoots,rice,15,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,3,1%,1,4%,0,1,2%,2%,Ginger_and_Soy
Bean Sprouts,addons,8,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,1,0%,< 1,3%,0,1,0%,0%,Ginger_and_Soy
Beef Bulgogi,meat,234,108,12.0,18%,4.0,20%,0,70,24%,430,18%,140,3%,9,3%,0,0%,8,23,2%,10%,Ginger_and_Soy
Beef Dumpling,meat,205,45,5.0,8%,1.5,9%,0,15,6%,400,17%,0,0%,29,10%,2,6%,2,10,0%,0%,Ginger_and_Soy
Brown Rice,rice,189,14,1.5,3%,0.0,0%,0,0,0%,10,0%,0,0%,39,13%,3,12%,0,5,2%,4%,Ginger_and_Soy
Bubu Arare,rice,23,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,5,2%,0,0%,5,< 1,0%,0%,Ginger_and_Soy
Chashu (Pork Belly),meat,18,18,2.0,3%,0.5,3%,0,0,1%,25,1%,0,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Chicken Dumpling,meat,182,54,6.0,10%,1.0,4%,0,30,9%,470,20%,0,0%,21,7%,0,0%,2,11,0%,0%,Ginger_and_Soy
Cilantro,addons,1,0,0.0,0%,0.0,0%,0,0,0%,0,0%,15,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Crab Salad,meat,66,40,4.5,7%,0.5,3%,0,5,2%,150,6%,0,0%,4,1%,0,0%,1,3,0%,0%,Ginger_and_Soy
Cusabi Sauce,sauces,64,63,7.0,11%,1.0,6%,0,0,1%,95,4%,0,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Eel Sauce,sauces,11,0,0.0,0%,0.0,0%,0,0,0%,115,5%,0,0%,2,1%,0,0%,2,0,2%,0%,Ginger_and_Soy
Fried Egg,meat,108,81,9.0,14%,2.0,10%,0,195,65%,65,3%,60,1%,0,0%,0,0%,0,6,2%,4%,Ginger_and_Soy
Fried Tofu,meat,207,153,17.0,27%,2.5,11%,0,0,0%,10,0%,0,0%,3,1%,2,6%,0,11,15%,10%,Ginger_and_Soy
Ginger Chicken,meat,340,126,14.0,22%,2.5,12%,0,80,27%,680,28%,350,8%,23,8%,0,1%,13,27,2%,4%,Ginger_and_Soy
Gochujang Sauce,sauces,14,0,0.0,0%,0.0,0%,0,0,0%,100,4%,0,0%,3,1%,0,0%,1,0,0%,0%,Ginger_and_Soy
Green Onion,addons,3,0,0.0,0%,0.0,0%,0,0,0%,15,1%,15,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Greens,addons,10,0,0.0,0%,0.0,0%,0,0,0%,15,1%,0,0%,3,1%,1,5%,1,1,2%,2%,Ginger_and_Soy
Grilled Teriyaki Chicken,meat,190,81,9.0,14%,2.5,13%,0,150,50%,210,9%,290,6%,0,0%,0,0%,0,26,2%,8%,Ginger_and_Soy
Kale Salad,addons,11,0,0.0,1%,0.0,0%,0,0,0%,15,1%,0,0%,2,1%,0,1%,2,0,0%,0%,Ginger_and_Soy
Kimchi Slaw,addons,39,27,3.0,4%,0.0,2%,0,0,1%,190,8%,30,1%,3,1%,0,2%,2,0,0%,0%,Ginger_and_Soy
Marinated Salmon,meat,158,72,8.0,12%,1.5,6%,0,45,14%,790,33%,350,7%,< 1,0%,0,0%,0,20,2%,2%,Ginger_and_Soy
Marinated Tuna,meat,123,40,4.5,7%,1.0,5%,0,25,9%,510,21%,190,4%,0,0%,0,0%,0,19,4%,6%,Ginger_and_Soy
Miyako,addons,22,0,0.0,0%,0.0,0%,0,0,0%,260,11%,0,0%,6,2%,0,0%,0,0,0%,0%,Ginger_and_Soy
Pad Thai,rice,508,36,4.0,6%,1.0,5%,0,125,41%,1760,73%,1220,26%,102,34%,9,33%,31,13,20%,15%,Ginger_and_Soy
Pickled Carrot,addons,28,0,0.0,0%,0.0,0%,0,0,0%,340,14%,70,1%,7,2%,< 1,3%,6,0,0%,0%,Ginger_and_Soy
Pickled Radish,addons,16,0,0.0,0%,0.0,0%,0,0,0%,240,10%,50,1%,4,1%,0,1%,4,0,0%,0%,Ginger_and_Soy
Pickled Red Cabbage,addons,17,0,0.0,0%,0.0,0%,0,0,0%,260,11%,0,0%,4,1%,0,1%,4,0,0%,0%,Ginger_and_Soy
Rice Noodles,rice,325,9,1.0,1%,0.0,0%,0,0,0%,30,1%,0,0%,71,24%,1,5%,0,5,4%,0%,Ginger_and_Soy
Sambal Sauce,sauces,7,0,0.0,0%,0.0,0%,0,0,0%,90,4%,5,0%,2,1%,0,0%,2,0,0%,0%,Ginger_and_Soy
Seasoned Broccoli,addons,10,0,0.0,0%,0.0,0%,0,0,0%,15,1%,85,2%,2,1%,< 1,3%,0,< 1,2%,2%,Ginger_and_Soy
Seasoned Corn,addons,20,0,0.0,1%,0.0,0%,0,0,0%,55,2%,50,1%,4,1%,0,2%,< 1,< 1,0%,0%,Ginger_and_Soy
Seaweed Salad,addons,50,22,2.5,4%,0.5,3%,0,0,0%,500,21%,280,6%,5,2%,1,5%,1,1,4%,2%,Ginger_and_Soy
Sesame Oil,sauces,26,27,3.0,4%,0.0,2%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Sesame Seeds,addons,3,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Shelled Edamame,addons,40,14,1.5,3%,0.0,1%,0,0,0%,0,0%,0,0%,3,1%,0,0%,0,4,2%,4%,Ginger_and_Soy
Spicy Cucumber,addons,0,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,0,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Spicy Mayo,sauces,34,32,3.5,5%,0.0,2%,0,< 5,1%,30,1%,0,0%,< 1,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
Spicy Pork,meat,312,144,16.0,24%,6.0,28%,0,110,37%,330,14%,360,8%,11,4%,0,0%,5,30,4%,15%,Ginger_and_Soy
Spicy Tuna,meat,111,32,3.5,5%,0.0,2%,0,35,12%,270,11%,40,1%,1,0%,0,0%,1,15,0%,4%,Ginger_and_Soy
Stir-Fried Cabbage & Red Pepper,addons,21,14,1.5,2%,0.0,2%,0,0,0%,200,8%,45,1%,1,1%,0,2%,< 1,0,0%,0%,Ginger_and_Soy
Stir-Fried Zucchini,addons,5,0,0.0,0%,0.0,0%,0,0,0%,10,0%,75,2%,< 1,0%,0,1%,< 1,0,0%,0%,Ginger_and_Soy
Sweet Potato,addons,54,22,2.5,4%,0.0,1%,0,0,0%,120,5%,55,1%,7,2%,< 1,3%,1,0,0%,2%,Ginger_and_Soy
Tan Tan Soup,addons,62,36,4.0,6%,0.5,3%,0,0,0%,1210,50%,140,3%,5,2%,0,2%,2,1,4%,6%,Ginger_and_Soy
Teriyaki Tofu,meat,165,40,4.5,7%,0.5,2%,0,0,0%,680,28%,0,0%,25,8%,1,4%,19,8,10%,6%,Ginger_and_Soy
Thai Red Curry with Chicken,meat,314,81,9.0,14%,2.0,11%,0,115,38%,7000,292%,420,9%,32,11%,14,50%,4,33,6%,10%,Ginger_and_Soy
Tonkotsu Soup,addons,46,22,2.5,4%,0.5,3%,0,< 5,1%,1610,67%,0,0%,3,1%,0,0%,< 1,2,0%,0%,Ginger_and_Soy
Vegetable Dumpling,addons,180,54,6.0,9%,2.0,9%,0,0,0%,470,19%,0,0%,26,9%,1,4%,2,7,2%,10%,Ginger_and_Soy
Vegetable Spring Roll,addons,60,9,1.0,2%,0.0,0%,0,0,0%,220,9%,0,0%,10,3%,0,2%,3,1,0%,0%,Ginger_and_Soy
White Rice,rice,221,0,0.0,0%,0.0,0%,0,0,0%,0,0%,0,0%,49,16%,0,0%,0,4,0%,15%,Ginger_and_Soy
White Sauce,sauces,61,54,6.0,10%,1.0,4%,0,5,2%,45,2%,0,0%,< 1,0%,0,0%,0,0,0%,0%,Ginger_and_Soy
